"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
8.990090000E-1,5.181285669E-1,1.088823544E0,3.136994000E-3,1.799999952E0,2.000000000E2
9.115047909E-1,5.180307500E-1,1.088486272E0,3.136286000E-3,1.799999952E0,2.000000000E2
9.281659159E-1,5.179597981E-1,1.088526456E0,3.135581000E-3,1.799999952E0,2.000000000E2
9.448272081E-1,5.171524284E-1,1.084997661E0,3.134908000E-3,1.799999952E0,2.000000000E2
9.614883331E-1,5.171539848E-1,1.085353906E0,3.134235000E-3,1.799999952E0,2.000000000E2
9.781494159E-1,5.171725263E-1,1.085675368E0,3.133562000E-3,1.799999952E0,2.000000000E2
9.948105831E-1,5.171898160E-1,1.085909877E0,3.132888000E-3,1.799999952E0,2.000000000E2
1.011471750E0,5.164935941E-1,1.083081514E0,3.132242000E-3,1.799999952E0,2.000000000E2
1.028132958E0,5.165313877E-1,1.083502366E0,3.131594000E-3,1.799999952E0,2.000000000E2
1.044794208E0,5.164511651E-1,1.083194949E0,3.130950000E-3,1.799999952E0,2.000000000E2
1.061455375E0,5.165279366E-1,1.083733430E0,3.130303000E-3,1.799999952E0,2.000000000E2
1.082281916E0,5.161812974E-1,1.082634333E0,3.129669000E-3,1.799999952E0,2.000000000E2
1.090612333E0,5.162441628E-1,1.083118983E0,3.129033000E-3,1.799999952E0,2.000000000E2
1.111438708E0,5.163141335E-1,1.083567287E0,3.128394000E-3,1.799999952E0,2.000000000E2
1.128100041E0,5.159083170E-1,1.081985360E0,3.127771000E-3,1.799999952E0,2.000000000E2
1.144761250E0,5.154218718E-1,1.079904845E0,3.127168000E-3,1.799999952E0,2.000000000E2
1.165587750E0,5.153050736E-1,1.079631822E0,3.126569000E-3,1.799999952E0,2.000000000E2
1.178083666E0,5.152838929E-1,1.079739968E0,3.125971000E-3,1.799999952E0,2.000000000E2
1.194744750E0,5.155219556E-1,1.080939717E0,3.125364000E-3,1.799999952E0,2.000000000E2
1.211406041E0,5.149321785E-1,1.078536315E0,3.124780000E-3,1.799999952E0,2.000000000E2
1.228067083E0,5.149991717E-1,1.079036462E0,3.124194000E-3,1.799999952E0,2.000000000E2
1.244727916E0,5.149945702E-1,1.079105933E0,3.123608000E-3,1.799999952E0,2.000000000E2
1.261389708E0,5.149806978E-1,1.079453708E0,3.123023000E-3,1.799999952E0,2.000000000E2
1.282215625E0,5.147312665E-1,1.078434680E0,3.122447000E-3,1.799999952E0,2.000000000E2
1.298877041E0,5.146357504E-1,1.078270597E0,3.121875000E-3,1.799999952E0,2.000000000E2
1.315537875E0,5.146948601E-1,1.078718492E0,3.121301000E-3,1.799999952E0,2.000000000E2
1.332199208E0,5.145083618E-1,1.077985183E0,3.120734000E-3,1.799999952E0,2.000000000E2
1.348860666E0,5.144532785E-1,1.077883617E0,3.120170000E-3,1.799999952E0,2.000000000E2
1.361356625E0,5.144080750E-1,1.078054115E0,3.119608000E-3,1.799999952E0,2.000000000E2
1.382183166E0,5.143179387E-1,1.077674571E0,3.119049000E-3,1.799999952E0,2.000000000E2
1.394678958E0,5.142728029E-1,1.077755760E0,3.118492000E-3,1.799999952E0,2.000000000E2
1.411340125E0,5.141441624E-1,1.077336607E0,3.117940000E-3,1.799999952E0,2.000000000E2
1.428001291E0,5.139472091E-1,1.076734074E0,3.117396000E-3,1.799999952E0,2.000000000E2
1.444662416E0,5.140856617E-1,1.077415616E0,3.116847000E-3,1.799999952E0,2.000000000E2
1.465488958E0,5.129218407E-1,1.072534886E0,3.116343000E-3,1.799999952E0,2.000000000E2
1.477985000E0,5.129115549E-1,1.072539130E0,3.115840000E-3,1.799999952E0,2.000000000E2
1.494646083E0,5.127926250E-1,1.072224788E0,3.115341000E-3,1.799999952E0,2.000000000E2
1.511307208E0,5.129943829E-1,1.073203026E0,3.114834000E-3,1.799999952E0,2.000000000E2
1.527968333E0,5.130037213E-1,1.073360794E0,3.114327000E-3,1.799999952E0,2.000000000E2
1.544629541E0,5.125820701E-1,1.071696310E0,3.113837000E-3,1.799999952E0,2.000000000E2
1.561290750E0,5.126008146E-1,1.071867691E0,3.113346000E-3,1.799999952E0,2.000000000E2
1.573786583E0,5.126783982E-1,1.072364876E0,3.112852000E-3,1.799999952E0,2.000000000E2
1.594612958E0,5.126097132E-1,1.072297138E0,3.112361000E-3,1.799999952E0,2.000000000E2
1.611274208E0,5.126897329E-1,1.072697686E0,3.111867000E-3,1.799999952E0,2.000000000E2
1.627935583E0,5.124678433E-1,1.072181548E0,3.111382000E-3,1.799999952E0,2.000000000E2
1.644596708E0,5.125865363E-1,1.072888704E0,3.110892000E-3,1.799999952E0,2.000000000E2
1.661257750E0,5.125891077E-1,1.073062931E0,3.110402000E-3,1.799999952E0,2.000000000E2
1.677918916E0,5.124330609E-1,1.072344996E0,3.109918000E-3,1.799999952E0,2.000000000E2
1.694580041E0,5.124655425E-1,1.072753340E0,3.109433000E-3,1.799999952E0,2.000000000E2
1.715406666E0,5.124749486E-1,1.072929691E0,3.108948000E-3,1.799999952E0,2.000000000E2
1.732067375E0,5.125368666E-1,1.073397487E0,3.108460000E-3,1.799999952E0,2.000000000E2
1.748729000E0,5.126455106E-1,1.074022475E0,3.107968000E-3,1.799999952E0,2.000000000E2
1.765390041E0,5.122535665E-1,1.072585513E0,3.107491000E-3,1.799999952E0,2.000000000E2
1.777886041E0,5.123626842E-1,1.073039601E0,3.107010000E-3,1.799999952E0,2.000000000E2
1.794547166E0,5.125102046E-1,1.073827653E0,3.106524000E-3,1.799999952E0,2.000000000E2
1.811208375E0,5.117151170E-1,1.070498271E0,3.106069000E-3,1.799999952E0,2.000000000E2
1.827869541E0,5.116622329E-1,1.070323412E0,3.105616000E-3,1.799999952E0,2.000000000E2
1.844530791E0,5.117325081E-1,1.070752519E0,3.105160000E-3,1.799999952E0,2.000000000E2
1.861192083E0,5.115608634E-1,1.070306434E0,3.104711000E-3,1.799999952E0,2.000000000E2
