"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
7.971023328E-1,5.117700311E-1,1.056320033E0,3.208521000E-3,1.799999952E0,2.000000000E2
8.095984159E-1,5.117821440E-1,1.056430941E0,3.208048000E-3,1.799999952E0,2.000000000E2
8.220944158E-1,5.118542463E-1,1.056752549E0,3.207572000E-3,1.799999952E0,2.000000000E2
8.387556658E-1,5.119260779E-1,1.057284950E0,3.207093000E-3,1.799999952E0,2.000000000E2
8.512514578E-1,5.117335570E-1,1.056649819E0,3.206622000E-3,1.799999952E0,2.000000000E2
8.679126247E-1,5.119603527E-1,1.057684459E0,3.206142000E-3,1.799999952E0,2.000000000E2
8.762428749E-1,5.118691337E-1,1.057568155E0,3.205666000E-3,1.799999952E0,2.000000000E2
8.929042078E-1,5.113056802E-1,1.055250970E0,3.205212000E-3,1.799999952E0,2.000000000E2
9.095654578E-1,5.115332541E-1,1.056284312E0,3.204749000E-3,1.799999952E0,2.000000000E2
9.220616247E-1,5.115297014E-1,1.056437835E0,3.204287000E-3,1.799999952E0,2.000000000E2
9.387227907E-1,5.114640278E-1,1.056395759E0,3.203827000E-3,1.799999952E0,2.000000000E2
9.553839157E-1,5.112840935E-1,1.055635202E0,3.203375000E-3,1.799999952E0,2.000000000E2
9.678798327E-1,5.111837728E-1,1.055398298E0,3.202927000E-3,1.799999952E0,2.000000000E2
9.845408327E-1,5.113805569E-1,1.056291206E0,3.202471000E-3,1.799999952E0,2.000000000E2
1.001202208E0,5.109277437E-1,1.054494735E0,3.202033000E-3,1.799999952E0,2.000000000E2
1.013698000E0,5.112752964E-1,1.056206102E0,3.201581000E-3,1.799999952E0,2.000000000E2
1.030359083E0,5.112870709E-1,1.056362906E0,3.201129000E-3,1.799999952E0,2.000000000E2
1.047020625E0,5.113776471E-1,1.056907131E0,3.200673000E-3,1.799999952E0,2.000000000E2
1.059516458E0,5.112497171E-1,1.056660918E0,3.200222000E-3,1.799999952E0,2.000000000E2
1.072012333E0,5.112870709E-1,1.056921873E0,3.199770000E-3,1.799999952E0,2.000000000E2
1.088673583E0,5.113319022E-1,1.057237653E0,3.199316000E-3,1.799999952E0,2.000000000E2
1.105334666E0,5.114542833E-1,1.057936693E0,3.198857000E-3,1.799999952E0,2.000000000E2
1.117830625E0,5.114162190E-1,1.058034825E0,3.198400000E-3,1.799999952E0,2.000000000E2
1.134491833E0,5.111233097E-1,1.056750113E0,3.197955000E-3,1.799999952E0,2.000000000E2
1.151152791E0,5.112448111E-1,1.057410938E0,3.197505000E-3,1.799999952E0,2.000000000E2
1.163649041E0,5.110679558E-1,1.056774723E0,3.197062000E-3,1.799999952E0,2.000000000E2
1.176144916E0,5.112443374E-1,1.057534024E0,3.196612000E-3,1.799999952E0,2.000000000E2
1.192806083E0,5.111453025E-1,1.057201762E0,3.196166000E-3,1.799999952E0,2.000000000E2
1.209467250E0,5.111756524E-1,1.057661865E0,3.195719000E-3,1.799999952E0,2.000000000E2
1.226128500E0,5.112429163E-1,1.058151513E0,3.195269000E-3,1.799999952E0,2.000000000E2
1.238624458E0,5.112821987E-1,1.058322707E0,3.194818000E-3,1.799999952E0,2.000000000E2
