"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
7.496456662E-1,9.002096482E-2,1.989047174E-1,2.896570000E-3,1.799999952E0,2.000000000E2
7.621419583E-1,8.993260483E-2,1.989163061E-1,2.894177000E-3,1.799999952E0,2.000000000E2
7.746375834E-1,8.976172138E-2,1.988228012E-1,2.891644000E-3,1.799999952E0,2.000000000E2
7.912987494E-1,8.961271223E-2,1.982196841E-1,2.889056000E-3,1.799999952E0,2.000000000E2
8.037947493E-1,8.963034870E-2,1.982230099E-1,2.886187000E-3,1.799999952E0,2.000000000E2
8.204558743E-1,8.924790372E-2,1.975523704E-1,2.883321000E-3,1.799999952E0,2.000000000E2
8.329512912E-1,8.934550911E-2,1.979754533E-1,2.881419000E-3,1.799999952E0,2.000000000E2
8.496126244E-1,8.947574832E-2,1.985285938E-1,2.879123000E-3,1.799999952E0,2.000000000E2
8.621084993E-1,8.910760707E-2,1.962303733E-1,2.893910000E-3,1.799999952E0,2.000000000E2
8.746041663E-1,8.905109424E-2,1.963702938E-1,2.891263000E-3,1.799999952E0,2.000000000E2
8.912654163E-1,8.925707299E-2,1.968322614E-1,2.888295000E-3,1.799999952E0,2.000000000E2
9.079265413E-1,8.911831584E-2,1.969079744E-1,2.885342000E-3,1.799999952E0,2.000000000E2
9.245879163E-1,8.885163717E-2,1.964032297E-1,2.883467000E-3,1.799999952E0,2.000000000E2
9.370838334E-1,8.901638803E-2,1.967505546E-1,2.880066000E-3,1.799999952E0,2.000000000E2
9.537448334E-1,8.896793637E-2,1.967887901E-1,2.877545000E-3,1.799999952E0,2.000000000E2
9.662406244E-1,8.867951028E-2,1.955734262E-1,2.892339000E-3,1.799999952E0,2.000000000E2
9.787365412E-1,8.889405774E-2,1.959437654E-1,2.889240000E-3,1.799999952E0,2.000000000E2
9.995631243E-1,8.885574811E-2,1.960648385E-1,2.886172000E-3,1.799999952E0,2.000000000E2
1.012058916E0,8.873375618E-2,1.959686677E-1,2.884013000E-3,1.799999952E0,2.000000000E2
1.028719874E0,8.882939914E-2,1.962717341E-1,2.880725000E-3,1.799999952E0,2.000000000E2
1.045380874E0,8.879251904E-2,1.949626831E-1,2.895532000E-3,1.799999952E0,2.000000000E2
1.062042208E0,8.877935724E-2,1.938621768E-1,2.910415000E-3,1.799999952E0,2.000000000E2
1.074537874E0,8.885841262E-2,1.944151304E-1,2.906428000E-3,1.799999952E0,2.000000000E2
